order_id,phone,city,status,eta_days,created_at
ORD-SY4LA5JU,+216 53 139 211,Nabeul,shipped_to_store,2,2026-02-24
ORD-2P9E6GBP,+216 86 925 651,Sfax,ready_for_pickup,3,2026-02-03
ORD-87WXE6SY,+216 61 512 813,Sousse,awaiting_lens,1,2026-02-14
ORD-XN0GUO4K,+216 46 540 904,Nabeul,ready_for_pickup,3,2026-02-15
ORD-PHR62GDS,+216 99 443 195,Sfax,ready_for_pickup,1,2026-02-26
ORD-HAIR4COW,+216 44 835 813,Ariana,shipped_to_store,3,2026-02-08
ORD-FY6452H2,+216 86 575 151,Nabeul,awaiting_lens,0,2026-02-15
ORD-EQTUL1P3,+216 84 536 950,Nabeul,shipped_to_store,1,2026-02-24
ORD-5Q14J1RI,+216 76 179 830,Sousse,awaiting_lens,2,2026-02-11
ORD-LTEIYZCO,+216 89 577 525,Tunis,awaiting_lens,3,2026-02-13
ORD-6VZ41NAM,+216 69 973 955,Ariana,awaiting_lens,3,2026-02-08
ORD-JRNY2047,+216 99 646 127,Ariana,processing,0,2026-02-21
ORD-P5GJLQM5,+216 55 870 951,Ariana,ready_for_pickup,0,2026-02-16
ORD-AT9MX2X1,+216 51 304 959,Tunis,awaiting_lens,1,2026-02-05
ORD-RE8QJNV8,+216 34 896 938,Sfax,ready_for_pickup,0,2026-02-19
ORD-ALY8OZCY,+216 51 204 813,Sousse,processing,5,2026-02-26
ORD-BTXCXAPR,+216 75 470 750,Ariana,awaiting_lens,3,2026-02-06
ORD-08J3TRP0,+216 54 430 972,Sfax,processing,2,2026-02-15
ORD-IQVNB4GH,+216 53 448 386,Nabeul,ready_for_pickup,5,2026-02-01
ORD-SGIOTIRZ,+216 77 911 117,Tunis,ready_for_pickup,1,2026-02-13
ORD-YLURTP0L,+216 78 377 413,Sousse,awaiting_lens,0,2026-02-24
ORD-GET1GHR0,+216 87 711 389,Tunis,awaiting_lens,2,2026-02-08
ORD-MKZEBBK7,+216 82 205 993,Tunis,ready_for_pickup,3,2026-02-16
ORD-PGB7R3OC,+216 26 255 252,Nabeul,ready_for_pickup,0,2026-02-08
ORD-E1V2ISQP,+216 95 539 412,Nabeul,processing,5,2026-02-24
ORD-D1WJCITF,+216 72 561 805,Nabeul,shipped_to_store,2,2026-02-02
ORD-IZZQY72W,+216 45 535 217,Nabeul,awaiting_lens,1,2026-02-09
ORD-3CFL0UKE,+216 58 816 512,Sousse,shipped_to_store,3,2026-02-03
ORD-V60VAIY4,+216 95 121 883,Sousse,processing,1,2026-02-16
ORD-SPK9P38Q,+216 72 441 428,Tunis,awaiting_lens,2,2026-02-14
ORD-YK83TQLL,+216 71 985 626,Tunis,shipped_to_store,3,2026-02-02
ORD-GN1W1HT7,+216 76 815 596,Tunis,processing,5,2026-02-26
ORD-IFTTD96Q,+216 35 763 952,Sfax,shipped_to_store,2,2026-02-17
ORD-ZORQQFGV,+216 37 984 171,Sousse,shipped_to_store,2,2026-02-26
ORD-S3KKV9RF,+216 88 595 453,Sousse,shipped_to_store,3,2026-02-11
ORD-59IN4OLR,+216 68 495 779,Sfax,shipped_to_store,0,2026-02-05
ORD-SV55PSQ0,+216 72 991 770,Sfax,processing,3,2026-02-26
ORD-8MYX444N,+216 60 741 835,Ariana,processing,5,2026-02-03
ORD-IYKID91Z,+216 32 554 270,Sousse,processing,0,2026-02-11
ORD-2KNFTU2G,+216 30 724 991,Ariana,awaiting_lens,3,2026-02-19
ORD-FQJJA26Y,+216 40 175 552,Sousse,ready_for_pickup,3,2026-02-23
ORD-J4HNRIUU,+216 57 122 949,Ariana,ready_for_pickup,0,2026-02-19
ORD-52960361,+216 49 721 921,Sousse,awaiting_lens,1,2026-02-20
ORD-J11YEDWB,+216 76 134 693,Sousse,awaiting_lens,0,2026-02-10
ORD-LOH25NSJ,+216 41 363 944,Ariana,ready_for_pickup,2,2026-02-26
ORD-E8F84098,+216 91 474 192,Ariana,processing,2,2026-02-18
ORD-EN0JNWNY,+216 80 125 734,Nabeul,ready_for_pickup,5,2026-02-08
ORD-XWQZXEBB,+216 83 218 199,Sfax,awaiting_lens,3,2026-02-15
ORD-N8ZTV05X,+216 82 730 517,Sousse,processing,2,2026-02-07
ORD-P84DYT9M,+216 70 382 294,Tunis,shipped_to_store,0,2026-02-22
ORD-HX8BM92H,+216 90 312 700,Sfax,awaiting_lens,2,2026-02-25
ORD-F6A4FEJG,+216 23 234 115,Sousse,awaiting_lens,5,2026-02-11
ORD-AJEPECQN,+216 95 211 562,Nabeul,awaiting_lens,5,2026-02-02
ORD-06XKXB94,+216 74 802 210,Ariana,shipped_to_store,0,2026-02-03
ORD-LFEWVZNV,+216 57 564 617,Nabeul,shipped_to_store,0,2026-02-26
ORD-Z4X1ZHQI,+216 63 947 564,Ariana,shipped_to_store,0,2026-02-11
ORD-PXNF7C3D,+216 32 862 856,Sousse,awaiting_lens,5,2026-02-02
ORD-VULEMX15,+216 26 394 714,Sousse,ready_for_pickup,0,2026-02-19
ORD-SFR4MUEK,+216 48 926 539,Nabeul,processing,5,2026-02-22
ORD-3JGZLMA5,+216 92 773 510,Tunis,awaiting_lens,0,2026-02-03
ORD-0HPMNZ1U,+216 30 153 259,Sfax,processing,0,2026-02-09
ORD-PPVOHSMD,+216 95 598 639,Sousse,processing,1,2026-02-13
ORD-9BH811KE,+216 83 864 540,Sfax,awaiting_lens,3,2026-02-18
ORD-ZS43C5BA,+216 29 982 420,Nabeul,shipped_to_store,5,2026-02-13
ORD-ZPEAL2W3,+216 66 190 547,Tunis,awaiting_lens,3,2026-02-19
ORD-OC50H2CW,+216 87 622 298,Sousse,ready_for_pickup,1,2026-02-08
ORD-DJGF1C8W,+216 79 872 677,Nabeul,shipped_to_store,5,2026-02-21
ORD-WW5WFCPK,+216 55 705 157,Sousse,processing,2,2026-02-15
ORD-QC3C54WS,+216 79 694 667,Tunis,shipped_to_store,5,2026-02-21
ORD-GVS8Q349,+216 30 616 761,Sfax,processing,1,2026-02-23
ORD-PPSFNKOM,+216 96 153 908,Sousse,processing,2,2026-02-04
ORD-UNJ48VFC,+216 38 458 417,Ariana,awaiting_lens,5,2026-02-23
ORD-7LN23Y30,+216 87 195 761,Ariana,ready_for_pickup,0,2026-02-12
ORD-L8M1G9FK,+216 32 619 889,Nabeul,processing,2,2026-02-25
ORD-WVFGYW6Z,+216 25 520 473,Sfax,shipped_to_store,5,2026-02-10
ORD-12II826G,+216 93 551 572,Sousse,shipped_to_store,5,2026-02-17
ORD-PFHV5BRN,+216 33 828 966,Nabeul,processing,2,2026-02-03
ORD-1J6FP8HQ,+216 64 127 524,Tunis,shipped_to_store,5,2026-02-12
ORD-I9NB74X2,+216 37 139 393,Ariana,awaiting_lens,3,2026-02-15
ORD-W6AHF7VP,+216 56 343 408,Tunis,processing,1,2026-02-14
ORD-XWC4RTWU,+216 38 398 539,Tunis,ready_for_pickup,1,2026-02-19
ORD-OXD9CSS9,+216 90 120 499,Ariana,processing,3,2026-02-12
ORD-JA2M0W10,+216 62 236 145,Sousse,ready_for_pickup,1,2026-02-27
ORD-2QZW3C1Q,+216 57 306 144,Sfax,processing,2,2026-02-10
ORD-S9TJ1GM2,+216 62 379 227,Sousse,shipped_to_store,3,2026-02-24
ORD-P8MGYN2J,+216 30 844 534,Tunis,shipped_to_store,5,2026-02-27
ORD-GKDLKQZF,+216 76 459 557,Tunis,ready_for_pickup,5,2026-02-14
ORD-J98CWN2Y,+216 23 246 969,Nabeul,shipped_to_store,0,2026-02-05
ORD-C2NNUVY8,+216 67 554 881,Tunis,awaiting_lens,5,2026-02-12
ORD-OXIE0RNU,+216 53 893 366,Ariana,awaiting_lens,5,2026-02-10
ORD-Y9HECGZ9,+216 60 783 455,Tunis,ready_for_pickup,2,2026-02-28
ORD-FZZGNI92,+216 50 909 605,Tunis,ready_for_pickup,5,2026-02-19
ORD-N2TWDL9Z,+216 87 520 887,Ariana,processing,1,2026-02-11
ORD-XQYM52XG,+216 36 543 614,Tunis,processing,5,2026-02-05
ORD-KF7I8SKC,+216 45 750 664,Sousse,awaiting_lens,2,2026-02-20
ORD-TSG7FXZV,+216 92 142 945,Tunis,processing,0,2026-02-21
ORD-1JHUWB6T,+216 58 594 350,Ariana,ready_for_pickup,3,2026-02-03
ORD-YFOQMF5L,+216 64 508 233,Sousse,processing,2,2026-02-08
ORD-QJIDKNWI,+216 40 933 435,Nabeul,ready_for_pickup,1,2026-02-25
ORD-F9Q5RDOQ,+216 50 320 697,Sousse,processing,0,2026-02-10
ORD-R5XQT4P5,+216 66 882 512,Sousse,processing,3,2026-02-02
ORD-UHTCS1K9,+216 98 221 231,Tunis,shipped_to_store,2,2026-02-26
ORD-9UNFVOBB,+216 62 923 585,Nabeul,shipped_to_store,1,2026-02-20
ORD-6F7LOW4V,+216 84 948 621,Nabeul,shipped_to_store,5,2026-02-10
ORD-RALDOL65,+216 23 711 585,Sousse,awaiting_lens,0,2026-02-19
ORD-RSZ1N3IU,+216 34 295 119,Ariana,ready_for_pickup,3,2026-02-05
ORD-OHSWQ40Z,+216 86 312 674,Sousse,shipped_to_store,5,2026-02-13
ORD-LG6MM1ZX,+216 53 724 595,Sfax,awaiting_lens,2,2026-02-18
ORD-K791ZYRR,+216 91 914 838,Sousse,ready_for_pickup,0,2026-02-19
ORD-YN9382KK,+216 30 454 552,Sousse,shipped_to_store,1,2026-02-07
ORD-3JUJD0IB,+216 87 331 753,Sfax,processing,0,2026-02-14
ORD-LRYE89FX,+216 80 588 766,Sfax,ready_for_pickup,2,2026-02-10
ORD-X6DUT076,+216 42 527 957,Sfax,processing,3,2026-02-26
ORD-R7875AUD,+216 62 391 565,Nabeul,shipped_to_store,1,2026-02-28
ORD-SJ3L0XZA,+216 63 909 402,Nabeul,awaiting_lens,1,2026-02-20
ORD-463SDYGF,+216 61 354 106,Sousse,shipped_to_store,1,2026-02-15
ORD-18K0AXYC,+216 35 576 414,Sfax,shipped_to_store,5,2026-02-23
ORD-1YW7NH8R,+216 78 865 720,Sousse,shipped_to_store,5,2026-02-16
ORD-1231YV2S,+216 87 820 470,Tunis,processing,0,2026-02-27
ORD-TSUFLSEH,+216 94 600 193,Nabeul,shipped_to_store,0,2026-02-15
ORD-EOUUYLAJ,+216 20 863 323,Nabeul,processing,0,2026-02-14
ORD-MC97C7BO,+216 37 884 756,Ariana,ready_for_pickup,3,2026-02-15
ORD-56NYXTXM,+216 42 650 502,Nabeul,awaiting_lens,1,2026-02-27
ORD-AAKYTT3I,+216 64 258 382,Sfax,processing,0,2026-02-26
